CrashFactId,DateTime,Address,Latitude,Longitude,Mode,VehicleDamage,Weather1,Weather2,Lighting1,Lighting2,RoadSurf1,RoadSurf2,RoadCond1,RoadCond2,Mov1,Mov2,CollType1,CollType2,ExtText
20221120011001,2022-11-20 13:24:00,"The Embarcadero and Washington Street  , San Francisco, San Francisco, CA, 94111",37.7967325,-122.3952617,AUTONOMOUS,MINOR,CLEAR,CLEAR,DAYLIGHT,DAYLIGHT,DRY,DRY,NO UNUSUAL CONDITIONS,NO UNUSUAL CONDITIONS,STOPPED,BACKING,REAR END,HEAD-ON,"A Zoox vehicle in autonomy was stopped at a red light waiting for traffic ahead on Embarcadero with brake lights illuminated. When the traffic light changed to green, surrounding traffic began to move. The Zoox vehicle appropriately continued to wait for a stopped lead vehicle immediately ahead when vehicle 2 struck the Zoox vehicle from the rear. Zoox vehicle camera footage shows the driver of vehicle 2 holding their cellphone raised in their hand at the time of contact. There were no injuries and police were not called.



"
20221119006001,2022-11-19 10:45:00,"2895 Codensa Street, Santa Clara, Santa Clara, CA, 95051",37.3598283,-121.9814354,CONVENTIONAL,MINOR,CLEAR,CLEAR,DAYLIGHT,DAYLIGHT,DRY,DRY,NO UNUSUAL CONDITIONS,NO UNUSUAL CONDITIONS,MAKING LEFT TURN,PROCEEDING STRAIGHT,BROADSIDE,SIDE SWIPE,The operator of the Mercedes-Benz vehicle made a left turn from a driveway onto Condensa Street when the vehicle made contact with the on-coming Tesla vehicle.  No injuries were reported.
20221117006001,2022-11-17 17:20:00,"Highway 280 @ Bird Avenue, San Jose, Santa Clara, CA, 95126",37.3163325,-121.9171515,CONVENTIONAL,MINOR,CLEAR,CLEAR,DARK - STREET LIGHTS,DARK - STREET LIGHTS,DRY,DRY,NO UNUSUAL CONDITIONS,NO UNUSUAL CONDITIONS,PROCEEDING STRAIGHT,SLOWING/STOPPING,HEAD-ON,REAR END,"The Mercedes-Benz vehicle was traveling NB on Highway 280, near Bird Avenue, in lane one.  Traffic ahead began slowing, and the operator attempted a right lane change into lane two. The Mercedes-Benz vehicle operator was unable to complete the lane change and instead applied the brakes.  The Mercedes-Benz operator was unable to avoid contact with the Ford vehicle that was in front of it, and the Mercedes-Benz front bumper contacted the rear bumper of the Ford vehicle."
20221116004001,2022-11-16 14:59:00,"850 Van Ness Avenue, San Francisco, San Francisco, CA, 94109",37.7837199,-122.4204903,CONVENTIONAL,MINOR,CLEAR,CLEAR,DAYLIGHT,DAYLIGHT,DRY,DRY,NO UNUSUAL CONDITIONS,NO UNUSUAL CONDITIONS,PROCEEDING STRAIGHT,PROCEEDING STRAIGHT,SIDE SWIPE,SIDE SWIPE,"A Cruise autonomous vehicle (“Cruise AV”), operating in manual mode, was traveling northbound in the rightmost lane on Van Ness Avenue between Eddy Street and Ellis Street. The Cruise test driver began to maneuver around a double-parked vehicle by merging left into the center lane. Shortly thereafter, a 2013 Nissan Juke made contact with the Cruise AV's driver side rear passenger door and front driver side fender, damaging the driver side rear passenger door, front driver side fender, front driver side radar equipment and front driver side bumper. There were no reported injuries at the scene by either party."
20221114011001,2022-11-14 20:22:00,"Folsom Street and 8th Street , San Francisco, San Francisco, CA, 94103",37.7750057,-122.4100837,AUTONOMOUS,MINOR,CLEAR,CLEAR,DARK - STREET LIGHTS,DARK - STREET LIGHTS,DRY,DRY,NO UNUSUAL CONDITIONS,NO UNUSUAL CONDITIONS,SLOWING/STOPPING,PROCEEDING STRAIGHT,REAR END,HEAD-ON,"A Zoox vehicle in autonomy was proceeding straight on Folsom Street when a leading vehicle in the lane began to slow down prompting the Zoox vehicle to slow correspondingly. The Zoox vehicle, with brake lights illuminated, had slowed to 5 mph when it was struck from the rear by vehicle number 2. Zoox vehicle camera footage shows the driver of vehicle 2 holding their cellphone raised in their right hand. There were no injuries and police were not called.




"
20221108009001,2022-11-08 09:34:00,"2nd Street at Minna Street, San Francisco, San Francisco, CA, 94105",37.7865997,-122.400531,AUTONOMOUS,MINOR,RAINING,RAINING,DAYLIGHT,DAYLIGHT,WET,WET,NO UNUSUAL CONDITIONS,NO UNUSUAL CONDITIONS,STOPPED,UNKNOWN,UNKNOWN,REAR END,"On November 8, 2022 at 9:34 AM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger car on 2nd Street at Minna Street.

The Waymo AV was stopped in traffic on northbound 2nd Street in autonomous mode. A passenger car that had been stopped behind the Waymo AV passed on the left side, crossing the double yellow line and making contact with the Waymo AV’s rear left sensor housing. The passenger car immediately left the scene.

At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The Waymo AV sustained damage."
20221103009001,2022-11-03 16:30:00,"101 Villa Terrace, San Francisco, San Francisco, CA, 94114",37.7584883,-122.4466286,CONVENTIONAL,MINOR,CLOUDY,CLOUDY,DAYLIGHT,DAYLIGHT,DRY,DRY,NO UNUSUAL CONDITIONS,NO UNUSUAL CONDITIONS,BACKING,UNKNOWN,OTHER,UNKNOWN,"On November 3, 2022 at 4:30 PM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a parked SUV near 101 Villa Terrace.

While reversing in manual on a narrow road, the front right radar of the Waymo AV made contact with the taillight of a parked SUV. At the time of the impact, the Waymo AV’s Level 4 ADS was not engaged and a test driver was operating the Waymo AV in manual mode. Both vehicles sustained damage.
"
20221104011001,2022-11-04 13:40:00,"Vallejo Street and Sansome Street, San Francisco, San Francisco, CA, 94111",37.7993922,-122.4024386,CONVENTIONAL,MINOR,CLEAR,CLEAR,DAYLIGHT,DAYLIGHT,DRY,DRY,NO UNUSUAL CONDITIONS,NO UNUSUAL CONDITIONS,STOPPED,PROCEEDING STRAIGHT,REAR END,HEAD-ON,"A Zoox vehicle in manual mode was stopped at the intersection of Vallejo Street and Sansome Street when a following vehicle made contact with the rear sensor array resulting in minor damage to the sensor bracket. No injuries were reported and the police were not called to the scene. 


"
20221021009001,2022-10-21 08:27:00,"Filbert Street at Kearny Street, San Francisco, San Francisco, CA, 94133",37.8017787,-122.4062706,AUTONOMOUS,MINOR,CLEAR,CLEAR,DAYLIGHT,DAYLIGHT,DRY,DRY,NO UNUSUAL CONDITIONS,NO UNUSUAL CONDITIONS,MAKING RIGHT TURN,UNKNOWN,OTHER,UNKNOWN,"On October 21, 2022 at 8:27 AM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California made contact with the pavement on a steep hill on Filbert Street at Kearny Street.

The Waymo AV was on a steep hill, turning from Filbert Street onto Kearny Street, when the Waymo AV's undercarriage made contact with the pavement (the AV did not contact any vehicle or road user). At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The Waymo AV sustained damage.
"
20221020002001,2022-10-20 11:19:00,"US-101S Ramp & Lawrence Expressway, Sunnyvale, Santa Clara, CA, 94085",37.3702418,-121.9963301,CONVENTIONAL,MODERATE,CLEAR,CLEAR,DAYLIGHT,DAYLIGHT,DRY,DRY,NO UNUSUAL CONDITIONS,NO UNUSUAL CONDITIONS,SLOWING/STOPPING,MAKING RIGHT TURN,REAR END,HEAD-ON,"On October 20th, a test vehicle operating in manual driving mode was stopped at a red light after exiting Highway 101 to turn right onto Lawrence Expressway in Sunnyvale when a Ford pickup made contact from the rear.  No injuries were reported and law enforcement was not called to the scene.  Both vehicles sustained moderate damage."
20221010002001,2022-10-10 09:56:00,"Lawrence Expy and Sandia Ave, Sunnyvale, Santa Clara, CA, 94089",37.3960848,-121.99585,CONVENTIONAL,MINOR,CLOUDY,CLOUDY,DAYLIGHT,DAYLIGHT,DRY,DRY,NO UNUSUAL CONDITIONS,NO UNUSUAL CONDITIONS,STOPPED,PROCEEDING STRAIGHT,REAR END,HEAD-ON,"On October 10th, a test vehicle operating in manual driving mode was stopped at a red light while southbound on Lawrence Expressway at Sandia Avenue in Sunnyvale when a Toyota Camry made light contact from the rear.  No injuries were reported and law enforcement was not called to the scene.  Test vehicle sensors were damaged."
20221014011001,2022-10-14 14:52:00," Broadway St & Sansome St Intersection  , San Francisco, San Francisco, CA, 94133",37.7984385,-122.4022479,AUTONOMOUS,MINOR,CLEAR,CLEAR,DAYLIGHT,DAYLIGHT,DRY,DRY,NO UNUSUAL CONDITIONS,NO UNUSUAL CONDITIONS,PROCEEDING STRAIGHT,UNKNOWN,HEAD-ON,BROADSIDE,A Zoox vehicle was proceeding straight in autonomy through an intersection with a green light and right of way when vehicle 2 attempted an illegal left turn across lanes of traffic into Zoox’s right of way. The safety driver disengaged and applied max braking effort which allowed Zoox to mitigate but not completely prevent the unavoidable collision. The Zoox vehicle struck the right front corner of vehicle 2. No injuries were reported and the police were not called to the scene. 
