CaseID,URL
20190206009001,https://imagedelivery.net/7Ynb8cGuaNFDfUq5ec13tQ/7b048854-1797-4f04-9b94-b5223fc20200/public
20190126009001,https://imagedelivery.net/7Ynb8cGuaNFDfUq5ec13tQ/ab285837-3ba8-462b-cb81-4846b9fcc300/public
20190107000001,https://imagedelivery.net/7Ynb8cGuaNFDfUq5ec13tQ/49216e81-318c-4721-cf1e-8bcc0d156200/public
20190110000001,https://imagedelivery.net/7Ynb8cGuaNFDfUq5ec13tQ/dabd81d0-329d-4139-428f-393b86775a00/public
20190110014001,https://imagedelivery.net/7Ynb8cGuaNFDfUq5ec13tQ/e46daf52-0290-4d54-a121-389c57534400/public
20190214000001,https://imagedelivery.net/7Ynb8cGuaNFDfUq5ec13tQ/77e1d4f8-e00c-476f-43e6-d9c38890f200/public
20190228015001,https://imagedelivery.net/7Ynb8cGuaNFDfUq5ec13tQ/837703d2-3720-4445-37ff-3b8256a30700/public
20190227000001,https://imagedelivery.net/7Ynb8cGuaNFDfUq5ec13tQ/2f6fd377-c2d4-466e-449b-85a77da88500/public
20190210009001,https://imagedelivery.net/7Ynb8cGuaNFDfUq5ec13tQ/73c2530e-06cd-4aa7-d1cd-f61c41a01f00/public
20190226009001,https://imagedelivery.net/7Ynb8cGuaNFDfUq5ec13tQ/1d430e5e-cbf9-4c3a-1a25-c1f9ca7b0200/public
20190306015001,https://imagedelivery.net/7Ynb8cGuaNFDfUq5ec13tQ/448cd373-cce5-4bfd-f28a-5892dd6e1300/public
20190308000001,https://imagedelivery.net/7Ynb8cGuaNFDfUq5ec13tQ/bd0a654a-c4de-40eb-88f6-1a99f3be6f00/public
20190312015001,https://imagedelivery.net/7Ynb8cGuaNFDfUq5ec13tQ/92ef7568-7077-4d62-4c36-733f7ef09a00/public
20190323000001,https://imagedelivery.net/7Ynb8cGuaNFDfUq5ec13tQ/eaa413b1-3e03-400b-0888-8549928a7400/public
20190324000001,https://imagedelivery.net/7Ynb8cGuaNFDfUq5ec13tQ/321df64f-7fb1-4284-e1ba-c797e7fce800/public
20190326009001,https://imagedelivery.net/7Ynb8cGuaNFDfUq5ec13tQ/46fc4881-417d-4077-2b24-1d0b9e01ad00/public
20190411015001,https://imagedelivery.net/7Ynb8cGuaNFDfUq5ec13tQ/af894ca4-cee6-4e96-79ee-c8f1e2480f00/public
20190403000001,https://imagedelivery.net/7Ynb8cGuaNFDfUq5ec13tQ/f4d815af-d1e1-4d5d-6094-deaa5ba40700/public
20190410000001,https://imagedelivery.net/7Ynb8cGuaNFDfUq5ec13tQ/49e11615-7b23-4ee2-fda3-de99dde3cd00/public
20190410000002,https://imagedelivery.net/7Ynb8cGuaNFDfUq5ec13tQ/fbfc09bf-e150-4f40-e4df-c528cdfc8a00/public
20190414000001,https://imagedelivery.net/7Ynb8cGuaNFDfUq5ec13tQ/667c6d73-db0b-4e16-1b85-4f458785ac00/public
20190414000002,https://imagedelivery.net/7Ynb8cGuaNFDfUq5ec13tQ/69762452-d924-4b45-b764-260b326f8b00/public
20190502000001,https://imagedelivery.net/7Ynb8cGuaNFDfUq5ec13tQ/7505f62f-6a67-4e98-db1e-4e09ea9a0c00/public
20190502015001,https://imagedelivery.net/7Ynb8cGuaNFDfUq5ec13tQ/e336de85-0e54-42a2-0b87-1d568ec11e00/public
20190504000001,https://imagedelivery.net/7Ynb8cGuaNFDfUq5ec13tQ/830a722b-9b15-41b3-a861-7c572bd42200/public
20190504000002,https://imagedelivery.net/7Ynb8cGuaNFDfUq5ec13tQ/74633a6d-da92-4f4b-f884-2a82bbfa8e00/public
20190513000001,https://imagedelivery.net/7Ynb8cGuaNFDfUq5ec13tQ/9b24b966-ea44-4d75-71cb-1308a4fece00/public
20190508000001,https://imagedelivery.net/7Ynb8cGuaNFDfUq5ec13tQ/fdc512fe-0bee-459c-8675-05ded24fd600/public
20190515009001,https://imagedelivery.net/7Ynb8cGuaNFDfUq5ec13tQ/15c47ec8-80c0-406d-40c3-554f45fd8900/public
20190518000001,https://imagedelivery.net/7Ynb8cGuaNFDfUq5ec13tQ/b4bcab5f-6955-42aa-d16e-528322001300/public
20190522009001,https://imagedelivery.net/7Ynb8cGuaNFDfUq5ec13tQ/83cba7e6-7bc8-40ad-10b1-f9c7303de400/public
20190529009001,https://imagedelivery.net/7Ynb8cGuaNFDfUq5ec13tQ/7f11fc9f-7d9d-4dd3-61bb-8207eb47d200/public
20190524000001,https://imagedelivery.net/7Ynb8cGuaNFDfUq5ec13tQ/dc8b0312-a370-4c90-296c-27bcf88eff00/public
20190608000001,https://imagedelivery.net/7Ynb8cGuaNFDfUq5ec13tQ/adf05373-5f98-478e-36ac-d209d1592b00/public
20190613000001,https://imagedelivery.net/7Ynb8cGuaNFDfUq5ec13tQ/f9c075dc-943d-41b7-a4d3-9325984af400/public
20190612000001,https://imagedelivery.net/7Ynb8cGuaNFDfUq5ec13tQ/bb354f7c-62a9-499e-e11f-defc511da700/public
20190611000001,https://imagedelivery.net/7Ynb8cGuaNFDfUq5ec13tQ/2d9652a6-8121-4096-589e-265c29f31e00/public
20190616009001,https://imagedelivery.net/7Ynb8cGuaNFDfUq5ec13tQ/e4fe1f49-3f2a-4464-8af9-06710abf0600/public
20190619000001,https://imagedelivery.net/7Ynb8cGuaNFDfUq5ec13tQ/6455a8b8-ba87-421d-597c-78a251bf3800/public
